sol_irr,T_amb,wind_pow
0.706,10.6,0.12
0.762,11.1,0.159
0.768,11.1,0.212
0.723,11.7,0.29
0.631,12.2,0.368
0.48,11.7,0.419
0.27,12.8,0.427
0.048,12.8,0.42
0,12.8,0.406
0,12.2,0.437
0,11.1,0.491
0,10.6,0.55
0,8.9,0.571
0,7.2,0.546
0,7.2,0.506
0,7.8,0.471
0,7.8,0.488
0,7.8,0.45
0,7.8,0.386
0,8.3,0.289
0.007,10.6,0.191
0.161,12.2,0.137
0.394,12.2,0.157
0.563,12.2,0.245
0.677,12.8,0.316
0.733,12.8,0.291
0.734,12.8,0.21
0.691,13.3,0.132
0.583,13.9,0.095
0.416,14.4,0.096
0.204,13.9,0.132
0.03,9.4,0.21
0,9.4,0.311
0,8.3,0.39
0,7.2,0.414
0,6.1,0.453
0,5.6,0.432
0,5,0.415
0,3.9,0.348
0,3.9,0.319
0,2.8,0.401
0,2.2,0.513
0,1.1,0.548
0,-0.6,0.552
0.008,1.1,0.53
0.185,0,0.476
0.411,-1.1,0.501
0.584,-2.2,0.402
0.692,-1.1,0.259
0.748,-1.7,0.18
0.751,0.6,0.138
0.705,1.7,0.094
0.604,3.3,0.067
0.443,5.6,0.057
0.23,7.2,0.057
0.037,6.7,0.053
0,8.3,0.047
0,8.3,0.043
0,6.7,0.039
0,4.4,0.032
0,3.3,0.029
0,4.4,0.025
0,3.3,0.023
0,4.4,0.021
0,3.9,0.017
0,3.9,0.011
0,3.3,0.007
0,2.2,0.007
0.009,2.8,0.008
0.193,2.2,0.008
0.412,2.8,0.007
0.583,2.2,0.036
0.705,1.1,0.094
0.762,1.1,0.085
0.768,1.1,0.058
0.72,2.8,0.053
0.621,5,0.071
0.466,4.4,0.093
0.256,4.4,0.131
0.046,3.9,0.171
0,3.3,0.223
0,3.3,0.267
0,3.3,0.261
0,2.8,0.217
0,2.2,0.199
0,1.7,0.2
0,1.1,0.181
0,1.1,0.168
0,1.1,0.177
0,1.1,0.202
0,0.6,0.233
0,0.6,0.238
0.009,0,0.225
0.17,0,0.207
0.395,0.6,0.203
0.599,-0.6,0.202
0.724,-0.6,0.18
0.781,-0.6,0.145
0.786,0,0.113
0.742,1.1,0.061
