sol_irr,T_amb,wind_pow
0,2.2,0.233
0,1.7,0.246
0,0.6,0.272
0.02,1.1,0.292
0.252,1.7,0.249
0.476,2.8,0.128
0.636,3.9,0.019
0.724,3.9,0.022
0.77,5.6,0.11
0.759,4.4,0.2
0.694,5.6,0.237
0.567,5.6,0.25
0.366,5,0.259
0.118,4.4,0.277
0,4.4,0.311
0,5,0.31
0,5,0.311
0,6.7,0.334
0,6.7,0.337
0,6.7,0.328
0,6.1,0.306
0,6.7,0.278
0,6.7,0.292
0,6.7,0.307
0,6.7,0.341
0,7.2,0.394
0,7.2,0.436
0.03,7.2,0.431
0.296,7.2,0.346
0.515,8.3,0.469
0.668,7.8,0.524
0.76,8.9,0.549
0.793,8.3,0.574
0.78,7.2,0.574
0.712,6.7,0.555
0.573,6.7,0.553
0.343,6.1,0.544
0.137,6.1,0.494
0,6.1,0.441
0,5.6,0.42
0,5.6,0.379
0,5.6,0.353
0,5.6,0.345
0,5.6,0.337
0,5,0.311
0,5.6,0.285
0,7.2,0.279
0,7.8,0.267
0,8.3,0.243
0,8.3,0.212
0,8.3,0.181
0.03,8.9,0.136
0.29,9.4,0.088
0.514,10,0.068
0.674,10.6,0.058
0.764,10.6,0.061
0.796,11.1,0.073
0.782,11.7,0.101
0.716,11.7,0.137
0.589,12.2,0.189
0.401,12.2,0.263
0.153,11.7,0.349
0,11.7,0.413
0,11.7,0.413
0,11.7,0.376
0,12.2,0.356
0,12.2,0.345
0,12.2,0.332
0,12.2,0.327
0,12.2,0.338
0,11.7,0.359
0,11.1,0.358
0,11.1,0.334
0,11.1,0.3
0,11.1,0.261
0.032,11.7,0.222
0.294,12.2,0.189
0.513,11.1,0.205
0.664,11.7,0.169
0.758,11.7,0.14
0.798,11.7,0.154
0.784,11.7,0.212
0.718,12.8,0.309
0.597,12.8,0.406
0.411,12.2,0.48
0.162,11.7,0.524
0,11.7,0.486
0,11.7,0.435
0,11.1,0.407
0,11.7,0.41
0,11.7,0.453
0,11.1,0.491
0,11.1,0.516
0,11.7,0.519
0,11.1,0.529
0,11.7,0.559
0,11.1,0.583
0,10.6,0.608
0,11.7,0.603
0.021,11.1,0.561
0.213,10,0.562
0.517,10,0.547
0.693,10.6,0.545
0.786,11.7,0.562
0.823,12.2,0.574
0.809,11.7,0.575
0.741,11.7,0.569
0.614,11.1,0.557
0.407,11.7,0.55
0.141,11.1,0.568
0,10,0.587
0,10,0.58
0,10,0.558
0,9.4,0.575
0,9.4,0.594
0,9.4,0.577
0,9.4,0.532
0,9.4,0.483
0,10,0.457
0,10,0.473
0,10,0.481
0,10,0.443
0,9.4,0.41
0.035,9.4,0.386
0.305,11.1,0.302
0.527,11.1,0.25
0.68,11.1,0.195
0.766,12.2,0.179
0.796,12.2,0.13
0.779,12.2,0.078
0.712,12.2,0.082
0.588,12.2,0.136
0.403,10.6,0.242
0.159,10.6,0.433
0.001,10.6,0.556
0,10.6,0.543
0,10.6,0.519
0,10,0.525
0,10,0.546
0,10,0.56
0,10,0.535
0,10,0.429
0,10,0.293
0,9.4,0.218
0,9.4,0.174
0,9.4,0.157
0,8.9,0.157
0.05,9.4,0.125
0.335,10,0.073
0.548,10,0.027
0.693,10.6,0.011
0.778,12.2,0.014
0.804,12.2,0.018
0.79,12.2,0.016
0.725,10,0.032
0.6,10,0.093
0.414,7.8,0.158
0.169,7.8,0.325
0.001,6.7,0.462
0,3.9,0.425
0,3.3,0.35
0,3.3,0.305
0,0.6,0.266
0,0.6,0.238
0,-0.6,0.21
0,0.6,0.183
0,1.7,0.169
0,1.7,0.174
0,1.7,0.185
0,3.3,0.198
0,5,0.216
0.041,6.1,0.21
0.307,5.6,0.166
0.526,6.7,0.139
0.681,7.2,0.126
0.774,7.8,0.088
0.811,8.3,0.064
0.796,8.9,0.068
0.729,8.9,0.151
0.605,9.4,0.26
0.42,8.9,0.368
0.173,8.9,0.47
0.002,8.9,0.513
0,7.8,0.532
0,8.9,0.566
0,8.9,0.61
0,8.9,0.63
0,8.9,0.638
0,8.9,0.618
0,8.3,0.591
0,9.4,0.571
0,8.9,0.538
0,10,0.552
0,10,0.561
0,10.6,0.538
0.03,11.1,0.513
0.228,11.1,0.54
0.51,11.7,0.589
0.667,12.2,0.567
0.756,11.7,0.544
0.8,12.8,0.532
0.788,12.8,0.541
0.704,12.8,0.58
0.552,12.2,0.615
0.363,11.1,0.621
0.146,10.6,0.635
0.001,8.9,0.601
0,7.2,0.566
0,7.2,0.595
0,7.8,0.647
0,7.8,0.72
0,7.8,0.745
0,7.8,0.766
0,8.3,0.785
0,10.6,0.791
0,12.2,0.812
0,12.2,0.783
0,12.2,0.762
0,12.8,0.724
0.021,12.8,0.654
0.132,12.8,0.619
0.335,13.3,0.553
0.434,13.9,0.45
0.595,14.4,0.367
0.673,13.9,0.323
0.74,9.4,0.303
0.731,9.4,0.312
0.616,8.3,0.328
0.43,7.2,0.32
0.182,6.1,0.28
0.003,5.6,0.259
0,5,0.243
0,3.9,0.21
0,3.9,0.166
0,2.8,0.119
0,2.2,0.086
0,1.1,0.058
0,-0.6,0.036
0,1.1,0.022
0,0,0.017
0,-1.1,0.019
0,-2.2,0.026
0,-1.1,0.037
0.062,-1.7,0.055
0.346,0.6,0.068
0.556,1.7,0.125
0.704,3.3,0.131
0.792,5.6,0.118
0.826,7.2,0.119
0.808,6.7,0.109
0.739,8.3,0.088
0.619,8.3,0.073
0.435,6.7,0.074
0.189,4.4,0.168
0.003,3.3,0.398
0,4.4,0.48
0,3.3,0.483
0,4.4,0.453
0,3.9,0.405
0,3.9,0.352
0,3.3,0.299
0,2.2,0.231
0,2.8,0.174
0,2.2,0.128
0,2.8,0.084
0,2.2,0.053
0,1.1,0.051
0.019,1.1,0.097
0.132,1.1,0.162
0.29,2.8,0.22
0.406,5,0.453
0.478,4.4,0.672
0.521,4.4,0.795
0.489,3.9,0.856
0.402,3.3,0.882
0.272,3.3,0.884
0.153,3.3,0.877
0.048,2.8,0.855
0,2.2,0.812
0,1.7,0.714
0,1.1,0.613
0,1.1,0.549
0,1.1,0.54
0,1.1,0.591
0,0.6,0.65
0,0.6,0.682
0,0,0.69
0,0,0.686
0,0.6,0.664
0,-0.6,0.618
0,-0.6,0.568
0.012,-0.6,0.552
0.077,0,0.433
